Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,39.900002,39.980000,39.160000,39.200001,36.476795,17805500
2023-02-22,39.380001,39.590000,39.029999,39.279999,36.551239,15086800
2023-02-23,39.119999,39.320000,38.520000,38.529999,35.853340,16738200
2023-02-24,38.230000,38.759998,38.090000,38.740002,36.048752,16431500
2023-02-27,38.990002,39.150002,38.630001,38.880001,36.179028,14210900
2023-02-28,38.700001,38.970001,38.549999,38.810001,36.113888,16685300
2023-03-01,38.709999,38.709999,38.150002,38.299999,35.639313,18411700
2023-03-02,38.099998,38.459999,37.939999,38.410000,35.741680,18818900
2023-03-03,38.439999,38.509998,38.060001,38.259998,35.602097,23407500
2023-03-06,38.369999,38.630001,38.049999,38.150002,35.499741,22925600
2023-03-07,38.099998,38.150002,37.430000,37.910000,35.276409,23713500
2023-03-08,37.799999,37.810001,37.349998,37.529999,34.922810,20295600
2023-03-09,37.599998,37.650002,36.520000,36.549999,34.010887,26506900
2023-03-10,36.639999,36.919998,36.410000,36.680000,34.131859,23940700
2023-03-13,36.540001,37.330002,36.389999,36.540001,34.001583,21834500
2023-03-14,36.660000,36.939999,36.500000,36.880001,34.317966,22433200
2023-03-15,36.689999,37.259998,36.520000,37.060001,34.485462,21722200
2023-03-16,36.820000,36.880001,36.439999,36.580002,34.038807,29164400
2023-03-17,36.549999,36.830002,36.160000,36.790001,34.234219,47352500
2023-03-20,36.959999,37.709999,36.930000,37.430000,34.829754,19247800
2023-03-21,37.720001,37.770000,37.360001,37.740002,35.118221,16648100
2023-03-22,37.790001,37.950001,37.290001,37.310001,34.718090,15321800
2023-03-23,37.299999,37.630001,37.160000,37.369999,34.773926,15799000
2023-03-24,37.529999,37.700001,37.250000,37.660000,35.043781,14957700
2023-03-27,37.990002,38.220001,37.700001,38.049999,35.406685,14472800
2023-03-28,38.020000,38.310001,37.919998,38.000000,35.360157,13092600
2023-03-29,38.310001,38.509998,38.160000,38.480000,35.806812,12308900
2023-03-30,38.549999,38.750000,38.439999,38.660000,35.974312,13918700
2023-03-31,38.790001,39.049999,38.549999,38.889999,36.188332,22801500
2023-04-03,39.049999,39.580002,39.020000,39.220001,36.495407,19354900
2023-04-04,39.290001,39.650002,39.209999,39.650002,36.895535,18577100
2023-04-05,39.730000,40.240002,39.570000,40.110001,37.323578,23561300
2023-04-06,39.500000,39.779999,39.160000,39.480000,37.345333,21546600
2023-04-10,39.209999,39.349998,38.990002,39.349998,37.222363,16114300
2023-04-11,39.330002,39.700001,39.270000,39.450001,37.316956,12539700
2023-04-12,39.369999,39.630001,39.099998,39.200001,37.080475,13095200
2023-04-13,39.189999,39.320000,38.919998,39.320000,37.193985,13515800
2023-04-14,39.369999,39.419998,38.889999,39.220001,37.099396,11008400
2023-04-17,39.220001,39.509998,39.139999,39.459999,37.326412,11572900
2023-04-18,39.470001,39.490002,38.900002,38.939999,36.834534,16588500
2023-04-19,38.919998,38.990002,38.520000,38.599998,36.512913,17701200
2023-04-20,37.660000,37.799999,36.980000,37.189999,35.179153,31521300
2023-04-21,37.430000,37.430000,37.049999,37.320000,35.302124,23823800
2023-04-24,37.189999,37.490002,36.980000,37.099998,35.094021,20362500
2023-04-25,36.709999,37.360001,36.570000,37.299999,35.283207,24959400
2023-04-26,37.099998,37.439999,36.820000,36.919998,34.923748,21499300
2023-04-27,37.200001,38.810001,37.130001,38.790001,36.692646,28841000
2023-04-28,38.560001,39.000000,38.459999,38.830002,36.730484,19194400
2023-05-01,39.169998,39.180000,38.680000,38.709999,36.616966,17043500
2023-05-02,38.470001,38.509998,37.490002,37.669998,35.633202,17268700
2023-05-03,37.959999,38.299999,37.610001,37.980000,35.926441,16703200
2023-05-04,37.860001,37.959999,37.290001,37.349998,35.330502,16163100
2023-05-05,37.520000,37.840000,37.160000,37.830002,35.784554,15809500
2023-05-08,37.680000,37.910000,37.439999,37.830002,35.784554,10672400
2023-05-09,37.820000,37.820000,37.430000,37.570000,35.538609,12226800
2023-05-10,37.810001,37.830002,37.290001,37.630001,35.595364,14427500
2023-05-11,37.410000,37.639999,37.320000,37.599998,35.566982,11068700
2023-05-12,37.639999,37.740002,37.410000,37.590000,35.557529,10666900
2023-05-15,37.630001,37.630001,36.720001,36.770000,34.781864,20408700
2023-05-16,36.619999,36.779999,36.040001,36.049999,34.100792,20244700
2023-05-17,36.220001,36.340000,36.040001,36.180000,34.223766,16741100
2023-05-18,36.009998,36.169998,35.720001,36.130001,34.176472,20365900
2023-05-19,36.220001,36.520000,36.029999,36.049999,34.100792,16824900
2023-05-22,36.250000,36.330002,35.910000,35.959999,34.015656,16634300
2023-05-23,35.939999,36.910000,35.799999,36.240002,34.280518,21539700
2023-05-24,36.230000,36.250000,35.849998,35.869999,33.930523,16044200
2023-05-25,35.540001,35.560001,34.740002,34.820000,32.937298,32465900
2023-05-26,34.840000,35.060001,34.669998,35.000000,33.107567,18216700
2023-05-30,34.970001,35.130001,34.779999,34.900002,33.012974,19353300
2023-05-31,34.860001,35.980000,34.860001,35.630001,33.703503,53756700
2023-06-01,35.599998,35.900002,35.419998,35.720001,33.788639,20565300
2023-06-02,34.400002,34.900002,33.720001,34.580002,32.710278,61482900
2023-06-05,34.779999,35.150002,34.450001,34.459999,32.596764,30125600
2023-06-06,34.500000,34.740002,34.330002,34.700001,32.823788,18406700
2023-06-07,34.720001,35.279999,34.630001,35.259998,33.353508,25494100
2023-06-08,35.240002,35.439999,34.980000,35.430000,33.514320,17749700
2023-06-09,35.459999,35.619999,35.259998,35.470001,33.552155,14953900
2023-06-12,35.660000,35.779999,35.360001,35.610001,33.684586,14044500
2023-06-13,35.500000,35.790001,35.419998,35.480000,33.561611,17706700
2023-06-14,35.630001,35.980000,35.619999,35.730000,33.798096,16538700
